log_id,template,variables,original
10,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740247003251), ckpt_fil(1), ckpt_off(6190178304), cur_lsn(2740247350849), l_next_seq(35891227514), g_next_seq(35789905179), cur_free(6270483456), total_space(21474828288), used_space(80305152), free_space(21394523136), n_ep(2)","['2025-04-30 00:00:10.475', 'P0000009826', 'T0000000000000011']","2025-04-30 00:00:10.475 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740247003251), ckpt_fil(1), ckpt_off(6190178304), cur_lsn(2740247350849), l_next_seq(35891227514), g_next_seq(35789905179), cur_free(6270483456), total_space(21474828288), used_space(80305152), free_space(21394523136), n_ep(2)"
11,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:00:10.476', 'P0000009826', 'T0000000000000011', '6641', 'used_space[80396288],', 'f']","2025-04-30 00:00:10.476 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 6641 pages flushed, used_space[80396288], free_space[21394432000]."
12,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:00:10.476', 'P0000009826', 'T0000000000000011334', 'CKPT2_FLUSH_THREAD,', 'space[21394432000],', 's']","2025-04-30 00:00:10.476 [INFO] database P0000009826 T0000000000000011334  checkpoint requested by CKPT2_FLUSH_THREAD, rlog free space[21394432000], used space[80396288]"
13,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:00:10.477', 'P0000009826', 'T0000000000000011', 'used_space[80396288],', 'f']","2025-04-30 00:00:10.477 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[80396288], free_space[21394432000]..."
14,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:13.582', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:00:13.582 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
15,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:13.583', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:00:13.583 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
16,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:00:13.681', 'P0000009826', 'T0000000000000011334', '160,', '3']","2025-04-30 00:00:13.681 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 34"
17,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740247293880), ckpt_fil(1), ckpt_off(6256935424), cur_lsn(2740247523269), l_next_seq(35891228361), g_next_seq(35789906026), cur_free(6324731904), total_space(21474828288), used_space(67795968), free_space(21407032320), n_ep(2)","['2025-04-30 00:00:13.682', 'P0000009826', 'T0000000000000011']","2025-04-30 00:00:13.682 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740247293880), ckpt_fil(1), ckpt_off(6256935424), cur_lsn(2740247523269), l_next_seq(35891228361), g_next_seq(35789906026), cur_free(6324731904), total_space(21474828288), used_space(67795968), free_space(21407032320), n_ep(2)"
18,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:00:13.682', 'P0000009826', 'T0000000000000011', '15070', 'used_space[67918336],', 'f']","2025-04-30 00:00:13.682 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 15070 pages flushed, used_space[67918336], free_space[21406909952]."
19,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:00:13.682', 'P0000009826', 'T0000000000000011334', 'CKPT2_FLUSH_THREAD,', 'space[21406909952],', 's']","2025-04-30 00:00:13.682 [INFO] database P0000009826 T0000000000000011334  checkpoint requested by CKPT2_FLUSH_THREAD, rlog free space[21406909952], used space[67918336]"
20,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:00:13.683', 'P0000009826', 'T0000000000000011', 'used_space[67918336],', 'f']","2025-04-30 00:00:13.683 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[67918336], free_space[21406909952]..."
21,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:16.129', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:00:16.129 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
22,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:16.130', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:00:16.130 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
23,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:00:16.202', 'P0000009826', 'T0000000000000011334', '160,', '0']","2025-04-30 00:00:16.202 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 0"
24,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740247425986), ckpt_fil(1), ckpt_off(6293484544), cur_lsn(2740247655215), l_next_seq(35891229405), g_next_seq(35789907070), cur_free(6364025856), total_space(21474828288), used_space(70541312), free_space(21404286976), n_ep(2)","['2025-04-30 00:00:16.203', 'P0000009826', 'T0000000000000011']","2025-04-30 00:00:16.203 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740247425986), ckpt_fil(1), ckpt_off(6293484544), cur_lsn(2740247655215), l_next_seq(35891229405), g_next_seq(35789907070), cur_free(6364025856), total_space(21474828288), used_space(70541312), free_space(21404286976), n_ep(2)"
25,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:00:16.203', 'P0000009826', 'T0000000000000011', '14275', 'used_space[70542848],', 'f']","2025-04-30 00:00:16.203 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 14275 pages flushed, used_space[70542848], free_space[21404285440]."
26,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:00:16.950', 'P0000009826', 'T0000000000000011383', 'CKPT_DIRTY_PAGES,', 'space[21400203776],', 's']","2025-04-30 00:00:16.950 [INFO] database P0000009826 T0000000000000011383  checkpoint requested by CKPT_DIRTY_PAGES, rlog free space[21400203776], used space[74624512]"
27,<DATE> [INFO] database <P_ID> <*> checkpoint generate by <*> > <*>,"['2025-04-30 00:00:16.951', 'P0000009826', 'T0000000000000011383', 'dirty_pages[12493]', 'c']",2025-04-30 00:00:16.951 [INFO] database P0000009826 T0000000000000011383  checkpoint generate by dirty_pages[12493] > ckpt_dirty_pages[10000]
28,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:00:16.951', 'P0000009826', 'T0000000000000011', 'used_space[74624512],', 'f']","2025-04-30 00:00:16.951 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[74624512], free_space[21400203776]..."
29,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:19.025', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:00:19.025 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
30,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:19.025', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:00:19.025 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
31,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:00:19.128', 'P0000009826', 'T0000000000000011334', '160,', '0']","2025-04-30 00:00:19.128 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 0"
32,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740247590438), ckpt_fil(1), ckpt_off(6345213952), cur_lsn(2740247810938), l_next_seq(35891230863), g_next_seq(35789908528), cur_free(6406879232), total_space(21474828288), used_space(62078976), free_space(21412749312), n_ep(2)","['2025-04-30 00:00:19.128', 'P0000009826', 'T0000000000000011']","2025-04-30 00:00:19.128 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740247590438), ckpt_fil(1), ckpt_off(6345213952), cur_lsn(2740247810938), l_next_seq(35891230863), g_next_seq(35789908528), cur_free(6406879232), total_space(21474828288), used_space(62078976), free_space(21412749312), n_ep(2)"
33,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:00:19.128', 'P0000009826', 'T0000000000000011', '12717', 'used_space[62078976],', 'f']","2025-04-30 00:00:19.128 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 12717 pages flushed, used_space[62078976], free_space[21412749312]."
34,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:00:19.955', 'P0000009826', 'T0000000000000011424', 'CKPT_DIRTY_PAGES,', 'space[21402918400],', 's']","2025-04-30 00:00:19.955 [INFO] database P0000009826 T0000000000000011424  checkpoint requested by CKPT_DIRTY_PAGES, rlog free space[21402918400], used space[71909888]"
35,<DATE> [INFO] database <P_ID> <*> checkpoint generate by <*> > <*>,"['2025-04-30 00:00:19.956', 'P0000009826', 'T0000000000000011424', 'dirty_pages[22598]', 'c']",2025-04-30 00:00:19.956 [INFO] database P0000009826 T0000000000000011424  checkpoint generate by dirty_pages[22598] > ckpt_dirty_pages[10000]
36,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:00:19.956', 'P0000009826', 'T0000000000000011', 'used_space[71909888],', 'f']","2025-04-30 00:00:19.956 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[71909888], free_space[21402918400]..."
37,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:21.328', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:00:21.328 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
38,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:21.328', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:00:21.328 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
39,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:00:21.400', 'P0000009826', 'T0000000000000011334', '160,', '0']","2025-04-30 00:00:21.400 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 0"
40,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740247750288), ckpt_fil(1), ckpt_off(6388300800), cur_lsn(2740247854465), l_next_seq(35891232052), g_next_seq(35789909717), cur_free(6420663296), total_space(21474828288), used_space(32362496), free_space(21442465792), n_ep(2)","['2025-04-30 00:00:21.400', 'P0000009826', 'T0000000000000011']","2025-04-30 00:00:21.400 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740247750288), ckpt_fil(1), ckpt_off(6388300800), cur_lsn(2740247854465), l_next_seq(35891232052), g_next_seq(35789909717), cur_free(6420663296), total_space(21474828288), used_space(32362496), free_space(21442465792), n_ep(2)"
41,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:00:21.400', 'P0000009826', 'T0000000000000011', '15002', 'used_space[32362496],', 'f']","2025-04-30 00:00:21.400 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 15002 pages flushed, used_space[32362496], free_space[21442465792]."
42,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:00:21.958', 'P0000009826', 'T0000000000000011385', 'CKPT_DIRTY_PAGES,', 'space[21438662144],', 's']","2025-04-30 00:00:21.958 [INFO] database P0000009826 T0000000000000011385  checkpoint requested by CKPT_DIRTY_PAGES, rlog free space[21438662144], used space[36166144]"
43,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:00:21.959', 'P0000009826', 'T0000000000000011', 'used_space[36167680],', 'f']","2025-04-30 00:00:21.959 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[36167680], free_space[21438660608]..."
44,<DATE> [INFO] database <P_ID> <*> checkpoint generate by <*> > <*>,"['2025-04-30 00:00:21.959', 'P0000009826', 'T0000000000000011385', 'dirty_pages[11160]', 'c']",2025-04-30 00:00:21.959 [INFO] database P0000009826 T0000000000000011385  checkpoint generate by dirty_pages[11160] > ckpt_dirty_pages[10000]
45,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:23.467', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:00:23.467 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
46,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:23.467', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:00:23.467 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
47,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:00:23.628', 'P0000009826', 'T0000000000000011334', '160,', '0']","2025-04-30 00:00:23.628 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 0"
48,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740247852846), ckpt_fil(1), ckpt_off(6420196352), cur_lsn(2740248230487), l_next_seq(35891233285), g_next_seq(35789910950), cur_free(6473212416), total_space(21474828288), used_space(53379584), free_space(21421448704), n_ep(2)","['2025-04-30 00:00:23.628', 'P0000009826', 'T0000000000000011']","2025-04-30 00:00:23.628 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740247852846), ckpt_fil(1), ckpt_off(6420196352), cur_lsn(2740248230487), l_next_seq(35891233285), g_next_seq(35789910950), cur_free(6473212416), total_space(21474828288), used_space(53379584), free_space(21421448704), n_ep(2)"
49,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:00:23.628', 'P0000009826', 'T0000000000000011', '11602', 'used_space[53379584],', 'f']","2025-04-30 00:00:23.628 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 11602 pages flushed, used_space[53379584], free_space[21421448704]."
50,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:00:23.962', 'P0000009826', 'T0000000000000011431', 'CKPT_DIRTY_PAGES,', 'space[21405854208],', 's']","2025-04-30 00:00:23.962 [INFO] database P0000009826 T0000000000000011431  checkpoint requested by CKPT_DIRTY_PAGES, rlog free space[21405854208], used space[68974080]"
51,<DATE> [INFO] database <P_ID> <*> checkpoint generate by <*> > <*>,"['2025-04-30 00:00:23.962', 'P0000009826', 'T0000000000000011431', 'dirty_pages[22046]', 'c']",2025-04-30 00:00:23.962 [INFO] database P0000009826 T0000000000000011431  checkpoint generate by dirty_pages[22046] > ckpt_dirty_pages[10000]
52,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:00:23.962', 'P0000009826', 'T0000000000000011', 'used_space[69004288],', 'f']","2025-04-30 00:00:23.962 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[69004288], free_space[21405824000]..."
53,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:25.733', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:00:25.733 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
54,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:25.734', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:00:25.734 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
55,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:00:25.765', 'P0000009826', 'T0000000000000035534', 'e']",2025-04-30 00:00:25.765 [WARNING] database P0000009826 T0000000000000035534  socket_err_should_retry errno:38
56,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:00:26.073', 'P0000009826', 'T0000000000000011334', '160,', '0']","2025-04-30 00:00:26.073 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 0"
57,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740248098658), ckpt_fil(1), ckpt_off(6449117696), cur_lsn(2740248633818), l_next_seq(35891234493), g_next_seq(35789912158), cur_free(6525498880), total_space(21474828288), used_space(76381184), free_space(21398447104), n_ep(2)","['2025-04-30 00:00:26.073', 'P0000009826', 'T0000000000000011']","2025-04-30 00:00:26.073 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740248098658), ckpt_fil(1), ckpt_off(6449117696), cur_lsn(2740248633818), l_next_seq(35891234493), g_next_seq(35789912158), cur_free(6525498880), total_space(21474828288), used_space(76381184), free_space(21398447104), n_ep(2)"
58,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:00:26.073', 'P0000009826', 'T0000000000000011', '14624', 'used_space[76381184],', 'f']","2025-04-30 00:00:26.073 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 14624 pages flushed, used_space[76381184], free_space[21398447104]."
59,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:00:26.968', 'P0000009826', 'T0000000000000011382', 'CKPT_DIRTY_PAGES,', 'space[21393367552],', 's']","2025-04-30 00:00:26.968 [INFO] database P0000009826 T0000000000000011382  checkpoint requested by CKPT_DIRTY_PAGES, rlog free space[21393367552], used space[81460736]"
60,<DATE> [INFO] database <P_ID> <*> checkpoint generate by <*> > <*>,"['2025-04-30 00:00:26.969', 'P0000009826', 'T0000000000000011382', 'dirty_pages[22193]', 'c']",2025-04-30 00:00:26.969 [INFO] database P0000009826 T0000000000000011382  checkpoint generate by dirty_pages[22193] > ckpt_dirty_pages[10000]
61,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:00:26.969', 'P0000009826', 'T0000000000000011', 'used_space[81460736],', 'f']","2025-04-30 00:00:26.969 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[81460736], free_space[21393367552]..."
62,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:28.678', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:00:28.678 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
63,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:00:28.679', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:00:28.679 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
64,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:00:29.152', 'P0000009826', 'T0000000000000011334', '160,', '0']","2025-04-30 00:00:29.152 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 0"
65,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740248345703), ckpt_fil(1), ckpt_off(6493983744), cur_lsn(2740248901829), l_next_seq(35891235407), g_next_seq(35789913072), cur_free(6569331200), total_space(21474828288), used_space(75347456), free_space(21399480832), n_ep(2)","['2025-04-30 00:00:29.152', 'P0000009826', 'T0000000000000011']","2025-04-30 00:00:29.152 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740248345703), ckpt_fil(1), ckpt_off(6493983744), cur_lsn(2740248901829), l_next_seq(35891235407), g_next_seq(35789913072), cur_free(6569331200), total_space(21474828288), used_space(75347456), free_space(21399480832), n_ep(2)"
66,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:00:29.152', 'P0000009826', 'T0000000000000011', '15223', 'used_space[75347456],', 'f']","2025-04-30 00:00:29.152 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 15223 pages flushed, used_space[75347456], free_space[21399480832]."
67,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, <*>","['2025-04-30 00:00:29.197', 'P0000009826', 'T0000000000000011020', 'c']","2025-04-30 00:00:29.197 [INFO] database P0000009826 T0000000000000011020  hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740248634082"
68,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush total <*> pages done, pseg_first_open:0, hpc_status:1, src_site:1, <*> <*> max_gen_lsn:0 code:0","['2025-04-30 00:00:29.869', 'P0000009826', 'T0000000000000011020', '5942', 'ckpt_lsn:2740248634082,', 'min_fst_mdf_lsn:2740248635575,']","2025-04-30 00:00:29.869 [INFO] database P0000009826 T0000000000000011020  hpc_process_ckpt_far_ep_flush flush total 5942 pages done, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740248634082, min_fst_mdf_lsn:2740248635575, max_gen_lsn:0 code:0"
69,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, <*>","['2025-04-30 00:00:29.972', 'P0000009826', 'T0000000000000011052', 'c']","2025-04-30 00:00:29.972 [INFO] database P0000009826 T0000000000000011052  hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740248767709"
70,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:00:29.972', 'P0000009826', 'T0000000000000011415', 'CKPT_DIRTY_PAGES,', 'space[21398893568],', 's']","2025-04-30 00:00:29.972 [INFO] database P0000009826 T0000000000000011415  checkpoint requested by CKPT_DIRTY_PAGES, rlog free space[21398893568], used space[75934720]"
71,<DATE> [INFO] database <P_ID> <*> checkpoint generate by <*> > <*>,"['2025-04-30 00:00:29.973', 'P0000009826', 'T0000000000000011415', 'dirty_pages[14651]', 'c']",2025-04-30 00:00:29.973 [INFO] database P0000009826 T0000000000000011415  checkpoint generate by dirty_pages[14651] > ckpt_dirty_pages[10000]
